Field Area Determination
---
Test case ID | Title | Description | Inputs | Preconditions | Expected results | Status
TC-FIELD-POS-001 | Detect Full Pitch Boundary | System detects full visible pitch boundary in standard broadcast view | 1080p match clip with clear touchlines and goal lines; run: python src/main.py --video <video> --output <out> | Field lines are clearly visible and camera is stable | Detected polygon aligns with the pitch boundary for most frames | Not run
TC-FIELD-POS-002 | Maintain Field Mask During Camera Pan | Field area mask remains stable during horizontal pan | Broadcast clip with smooth side-to-side camera pan | Continuous video stream without cuts | Field region updates smoothly without large jumps or collapse | Not run
TC-FIELD-POS-003 | Recover After Temporary Occlusion | System recovers field boundary after short foreground occlusion | Clip with players/referee temporarily covering boundary lines | Occlusion duration is short (<2s) | Field boundary is re-established within a short recovery window | Not run
TC-FIELD-POS-004 | Correct Area In Zoom-In Segment | Field area remains accurate when camera zooms in | Clip containing moderate zoom-in and zoom-out events | Line contrast remains visible | Detected playable area remains consistent with visible pitch region | Not run
TC-FIELD-NEG-001 | Reject Non-Pitch Scene | System does not output valid field polygon for tunnel/crowd scenes | Video segment from tunnel, stands, or bench area | Model and pipeline are running | Field area is not falsely detected as a valid pitch | Not run
TC-FIELD-NEG-002 | Ignore Dominant Green Objects | System avoids mistaking green ads/boards for field | Clip with large green LED boards and uniforms | Non-field green regions are prominent | Detected field boundary does not snap to non-pitch green regions | Not run
TC-FIELD-NEG-003 | Handle Corrupted Input Gracefully | Pipeline returns controlled error on corrupted video | python src/main.py --video corrupted.mp4 --output <out> | Corrupted file is available | Application reports readable error without crashing | Not run
TC-FIELD-NEG-004 | Reject Unsupported Media Format | Unsupported input format is validated and rejected | .txt or unsupported media file as input | CLI is accessible | Process stops with input validation error message | Not run
TC-FIELD-EDGE-001 | Partial Pitch In Frame | System handles frames where only part of pitch is visible | Tight camera angle where only half/third of field is visible | At least one touchline is visible | Detected area is limited to visible playable region without over-expansion | Not run
TC-FIELD-EDGE-002 | Low-Light Match Conditions | Field detection remains stable under low illumination | Night match clip with uneven lighting | Video has moderate noise | Detection quality may degrade slightly but remains usable and stable | Not run
TC-FIELD-EDGE-003 | Heavy Motion Blur | System behavior under strong motion blur is controlled | Fast camera movement causing blur | Blur spans multiple consecutive frames | No erratic polygon explosion; system either tracks conservatively or recovers quickly | Not run
TC-FIELD-EDGE-004 | Shadow And Sunlight Transitions | Boundary remains robust through sharp lighting transitions | Clip with alternating sunny and shadow zones | No scene cut between transitions | Field mask does not flicker excessively across lighting boundaries | Not run
TC-FIELD-EDGE-005 | Worn Or Faint Field Lines | Detection works when lines are partially faded | Match clip from worn pitch with faint markings | Grass texture is noisy | System still estimates plausible field boundaries using available cues | Not run
TC-FIELD-EDGE-006 | High-Resolution Performance Limit | 4K input is processed with acceptable field output latency | 4K match clip | Hardware meets minimum performance requirements | Field region is produced consistently and processing time stays within acceptable limit | Not run
